DATA SELECTED BASED ON FOLLOWING CRITERIA:,,,,,,,,,,,,
1- STND curve R^2 ≥ 95% ,,,,,,,,,,,,
2- Copies ≥ lower of detection on stnd curve,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample Date,GENE,AVG,STDEV,DATE,GENE,AVG,STDEV,DATE,N1 - N2 AVG,,5-day rolling average,% CHANGE FOR PREVIOUS PREVIOUS TEST DAY
08-Apr,N1,0.00245,0.00090,08-Apr,N2,0.00119,0.00041,08-Apr,0.00182,43929.00,,
24-Apr,N1,0.00145,0.00058,24-Apr,N2,0.00019,0.00004,24-Apr,0.00082,43945.00,,
05-May,N1,0.00052,0.00021,05-May,N2,0.00078,0.00071,05-May,0.00065,43956.00,0.000805,
19-May,N1,0.00037,0.00014,19-May,N2,0.00019,0.00009,19-May,0.00028,43970.00,0.000479,-0.405
02-Jun,N1,0.00050,0.00021,02-Jun,N2,0.00042,0.00012,02-Jun,0.00046,43984.00,0.000361,-0.245
10-Jun,N1,0.00006,0.00000,10-Jun,N2,0.00031,0.00019,10-Jun,0.00019,43992.00,0.000287,-0.205
16-Jun,N1,0.00025,0.00004,16-Jun,N2,0.00022,0.00007,16-Jun,0.00023,43998.00,0.000269,-0.062
17-Jun,N1,0.00036,0.00017,17-Jun,N2,0.00019,0.00006,17-Jun,0.00028,43999.00,0.000248,-0.079
19-Jun,N1,0.00020,0.00007,19-Jun,N2,0.00019,0.00004,19-Jun,0.00019,44001.00,0.000331,0.334
21-Jun,N1,0.00056,0.00035,21-Jun,N2,0.00015,0.00013,21-Jun,0.00035,44003.00,0.000380,0.149
23-Jun,N1,0.00083,0.00020,23-Jun,N2,0.00038,0.00002,23-Jun,0.00060,44005.00,0.000424,0.115
26-Jun,N1,0.00058,0.00017,26-Jun,N2,0.00038,#DIV/0!,26-Jun,0.00048,44008.00,0.000481,0.134
27-Jun,N1,0.00077,0.00028,27-Jun,N2,0.00022,#DIV/0!,27-Jun,0.00050,44009.00,0.000493,0.025
30-Jun,N1,0.00052,#DIV/0!,30-Jun,N2,0.00043,#DIV/0!,30-Jun,0.00048,44012.00,0.000391,-0.208
07-Jul,N1,0.00041,0.00000,07-Jul,N2,,#DIV/0!,07-Jul,0.00041,44019.00,0.000411,0.052
09-Jul,N1,0.00009,0.00003,09-Jul,N2,,#DIV/0!,09-Jul,0.00009,44021.00,0.000339,-0.175
12-Jul,N1,0.00055,0.00015,12-Jul,N2,0.00061,0.00020,12-Jul,0.00058,44024.00,0.000378,0.114
13-Jul,N1,0.00014,0.00003,13-Jul,N2,,#DIV/0!,13-Jul,0.00014,44025.00,0.000824,1.182
15-Jul,N1,0.00076,0.00031,15-Jul,N2,0.00057,#DIV/0!,15-Jul,0.00067,44027.00,0.001387,0.684
17-Jul,N1,0.00249,0.00089,17-Jul,N2,0.00280,0.00099,17-Jul,0.00264,44029.00,0.001384,-0.002
19-Jul,N1,0.00248,0.00085,19-Jul,N2,0.00333,0.00037,19-Jul,0.00291,44031.00,0.001696,0.226
21-Jul,N1,0.00080,#DIV/0!,21-Jul,N2,0.00032,0.00011,21-Jul,0.00056,44033.00,0.001872,0.104
23-Jul,N1,0.00132,0.00040,23-Jul,N1,0.00207,0.00053,23-Jul,0.00170,44035.00,0.001627,-0.131
25-Jul,N1,0.00223,0.00030,25-Jul,N2,0.00087,0.00039,25-Jul,0.00155,44037.00,0.001257,-0.227
27-Jul,N1,0.00149,0.00052,27-Jul,N2,0.00134,0.00030,27-Jul,0.00142,44039.00,0.001311,0.043
29-Jul,N1,0.00129,0.00032,29-Jul,N2,0.00083,0.00032,29-Jul,0.00106,44041.00,0.001283,-0.021
31-Jul,N1,0.00066,0.00017,31-Jul,N2,0.00101,0.00001,31-Jul,0.00083,44043.00,0.001263,-0.016
04-Aug,N1,0.00114,0.00026,04-Aug,N2,0.00198,0.00014,04-Aug,0.00156,44047.00,0.001212,-0.040
08-Aug,N1,0.00164,0.00043,08-Aug,N2,0.00126,0.00068,08-Aug,0.00145,44051.00,0.001262,0.041
10-Aug,N1,0.00127,0.00033,10-Aug,N2,0.00105,0.00072,10-Aug,0.00116,44053.00,0.001265,0.003
12-Aug,N1,0.00203,0.00018,12-Aug,N2,0.00058,0.00013,12-Aug,0.00131,44055.00,0.001259,-0.004
14-Aug,N1,0.00120,0.00054,14-Aug,N2,0.00050,#DIV/0!,14-Aug,0.00085,44057.00,0.001448,0.149
16-Aug,N1,0.00150,0.00042,16-Aug,N2,0.00156,0.00094,16-Aug,0.00153,44059.00,0.001490,0.029
18-Aug,N1,0.00264,0.00091,18-Aug,N2,0.00214,0.00061,18-Aug,0.00239,44061.00,0.001598,0.073
22-Aug,N1,0.00115,0.00053,22-Aug,N2,0.00159,0.00027,22-Aug,0.00137,44065.00,0.001922,0.203
24-Aug,N1,0.00199,0.00007,24-Aug,N2,0.00171,0.00088,24-Aug,0.00185,44067.00,0.002166,0.127
26-Aug,N1,0.00305,0.00059,26-Aug,N2,0.00189,0.00016,26-Aug,0.00247,44069.00,0.002149,-0.008
28-Aug,N1,0.00344,0.00192,28-Aug,N2,0.00205,0.00032,28-Aug,0.00275,44071.00,0.002068,-0.038
30-Aug,N1,0.00215,0.00080,30-Aug,N2,0.00246,0.00017,30-Aug,0.00230,44073.00,0.001977,-0.044
01-Sep,N1,0.00121,0.00015,01-Sep,N2,0.00073,0.00040,01-Sep,0.00097,44075.00,0.001841,-0.069
03-Sep,N1,0.00126,0.00030,03-Sep,N2,0.00154,0.00041,03-Sep,0.00140,44077.00,0.001570,-0.147
05-Sep,N1,0.00184,0.00010,05-Sep,N2,0.00173,0.00108,05-Sep,0.00179,44079.00,0.001577,0.005
07-Sep,N1,0.00160,0.00020,07-Sep,N2,0.00119,0.00013,07-Sep,0.00140,44081.00,0.001628,0.032
10-Sep,N1,0.00237,0.00138,10-Sep,N2,0.00231,0.00093,10-Sep,0.00234,44084.00,0.001647,0.011
11-Sep,N1,0.00131,0.00064,11-Sep,N2,0.00114,0.00047,11-Sep,0.00122,44085.00,0.001755,0.066
12-Sep,N1,0.00123,0.00026,12-Sep,N2,0.00175,0.00102,12-Sep,0.00149,44086.00,0.001871,0.066
13-Sep,N1,0.00193,0.00043,13-Sep,N2,0.00272,0.00094,13-Sep,0.00233,44087.00,0.001802,-0.037
14-Sep,N1,0.00191,0.00039,14-Sep,N2,0.00204,0.00032,14-Sep,0.00197,44088.00,0.001699,-0.057
15-Sep,N1,0.00185,0.00052,15-Sep,N2,0.00214,0.00026,15-Sep,0.00200,44089.00,0.001768,0.040
16-Sep,N1,0.00060,0.00013,16-Sep,N2,0.00081,0.00015,16-Sep,0.00071,44090.00,0.001633,-0.076
17-Sep,N1,0.00184,#DIV/0!,17-Sep,N2,0.00182,0.00037,17-Sep,0.00183,44091.00,0.001861,0.139
18-Sep,N1,0.00099,0.00033,18-Sep,N2,0.00233,0.00061,18-Sep,0.00166,44092.00,0.001680,-0.097
19-Sep,N1,0.00309,0.00052,19-Sep,N2,0.00313,0.00066,19-Sep,0.00311,44093.00,0.002134,0.270
20-Sep,N1,0.00123,0.00044,20-Sep,N2,0.00096,0.00019,20-Sep,0.00109,44094.00,0.002441,0.144
21-Sep,N1,0.00273,0.00006,21-Sep,N2,0.00322,0.00037,21-Sep,0.00298,44095.00,0.002523,0.034
22-Sep,N1,0.00257,0.00115,22-Sep,N2,0.00416,0.00195,22-Sep,0.00336,44096.00,,
23-Sep,N1,0.00197,0.00013,23-Sep,N2,0.00217,0.00074,23-Sep,0.00207,44097.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N1,,,,N2,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
,N2,,,,,,,,#DIV/0!,0.00,,#DIV/0!
